dataset,n,budget,quality_lower,quality_upper,cost_saving_lower,baseline20_completion,completed_subset_n,completed_subset_saving,at20,zero_upper
trec-covid-chrono-r2,30,2048,0.9643074118914775,0.9643074118914775,0.48205203156971643,0.8666666666666667,26,0.2523461939520334,0.6666666666666666,0.0
trec-covid-chrono-r2,30,4096,0.9824313617275862,0.9824313617275862,0.26506869336451333,0.8666666666666667,26,0.06975467866747165,0.8333333333333334,0.0
trec-covid-chrono-r2,30,8192,0.9860845391619467,0.9965650398309264,0.0,0.8666666666666667,26,0.0,0.8666666666666667,0.0
trec-covid-chrono-r2,30,10000,0.9860845391619467,1.0,0.0,0.8666666666666667,26,0.0,0.8666666666666667,0.0
trec-covid-chrono-r3,30,128,0.49521774304528515,0.49521774304528515,0.9621618958466769,0.6666666666666666,20,0.9081943697328313,0.0,0.03333333333333333
trec-covid-chrono-r3,30,256,0.6714414698848749,0.6714414698848749,0.9265211607626743,0.6666666666666666,20,0.8243858705397167,0.1,0.0
trec-covid-chrono-r3,30,512,0.7820268918336103,0.7820268918336103,0.8622653594127211,0.6666666666666666,20,0.682338174645867,0.2,0.0
trec-covid-chrono-r3,30,1024,0.8558734529139285,0.8558734529139285,0.7527713455190422,0.6666666666666666,20,0.4674556213017751,0.3,0.0
trec-covid-chrono-r3,30,2048,0.9049813629286787,0.9049813629286787,0.5858993939991132,0.6666666666666666,20,0.22736238120853502,0.5333333333333333,0.0
trec-covid-chrono-r3,30,4096,0.9428232836919057,0.9428232836919057,0.3402571808641671,0.6666666666666666,20,0.06781423704500622,0.6333333333333333,0.0
trec-covid-chrono-r3,30,8192,0.9555138533464248,0.9753193772447578,0.0,0.6666666666666666,20,0.0,0.6666666666666666,0.0
trec-covid-chrono-r3,30,10000,0.9575229024149687,1.0,0.0,0.6666666666666666,20,0.0,0.6666666666666666,0.0
trec-covid-chrono-r4,30,128,0.4681678879026352,0.4681678879026352,0.965450226732887,0.6666666666666666,20,0.9202790234180369,0.0,0.13333333333333333
trec-covid-chrono-r4,30,256,0.6632106262032892,0.6632106262032892,0.9312603469373065,0.6666666666666666,20,0.841803687095167,0.06666666666666667,0.0
trec-covid-chrono-r4,30,512,0.7981486237197795,0.7981486237197795,0.8731015619376664,0.6666666666666666,20,0.7202291978076731,0.23333333333333334,0.0
trec-covid-chrono-r4,30,1024,0.8546145976056269,0.8546145976056269,0.7867451234434607,0.6666666666666666,20,0.5807797708021923,0.4,0.0
trec-covid-chrono-r4,30,2048,0.9051451223262337,0.9051451223262337,0.6462607068307781,0.6666666666666666,20,0.41342800199302443,0.5,0.0
trec-covid-chrono-r4,30,4096,0.9375102349154767,0.9375102349154767,0.3784189879795581,0.6666666666666666,20,0.12415919282511212,0.5666666666666667,0.0
trec-covid-chrono-r4,30,8192,0.9580724059542469,0.9822273417696104,0.0,0.6666666666666666,20,0.0,0.6666666666666666,0.0
trec-covid-chrono-r4,30,10000,0.9604092166724761,1.0,0.0,0.6666666666666666,20,0.0,0.6666666666666666,0.0
trec-covid-chrono-r5,30,128,0.45723245997643663,0.45723245997643663,0.9673327718653497,0.7,21,0.9475153763545836,0.0,0.16666666666666666
trec-covid-chrono-r5,30,256,0.6218283263404722,0.6218283263404722,0.9346655437306995,0.7,21,0.8950307527091672,0.0,0.03333333333333333
trec-covid-chrono-r5,30,512,0.7731578910229877,0.7731578910229877,0.8796076529787578,0.7,21,0.8136483452113639,0.23333333333333334,0.0
trec-covid-chrono-r5,30,1024,0.8684471691679838,0.8684471691679838,0.7927757786114726,0.7,21,0.7043249048130431,0.4666666666666667,0.0
trec-covid-chrono-r5,30,2048,0.8978011350496756,0.8978011350496756,0.6533956052369649,0.7,21,0.564365908425266,0.4666666666666667,0.0
trec-covid-chrono-r5,30,4096,0.928079479932814,0.928079479932814,0.3790844669031638,0.7,21,0.2946597676461974,0.5,0.0
trec-covid-chrono-r5,30,8192,0.9605675075846752,0.9962016917573719,0.0,0.7,21,0.009567509518695672,0.6666666666666666,0.0
trec-covid-chrono-r5,30,10000,0.9620406273621006,1.0,0.0,0.7,21,0.0,0.7,0.0
