dataset,batch,budget,cap,n,both_known,delta_lower,delta_upper,ci_lower,ci_upper
trec-covid,1,2048,100,50,1.0,3.32,3.32,0.98,6.5
trec-covid,1,4096,20,50,1.0,0.3,0.3,0.02,0.68
trec-covid,1,4096,100,50,1.0,1.98,1.98,0.94,3.28
trec-covid,1,8192,20,50,0.42,0.22,1.68,0.02,2.640499999999997
trec-covid,1,8192,100,50,0.42,1.98,42.7,0.42,53.242499999999986
trec-covid,1,10000,20,50,0.22,0.0,1.92,0.0,2.96
trec-covid,1,10000,100,50,0.22,0.0,54.02,0.0,63.1005
trec-covid,64,128,20,50,1.0,0.0,0.0,0.0,0.0
trec-covid,64,128,100,50,1.0,0.0,0.0,0.0,0.0
trec-covid,64,256,20,50,1.0,0.0,0.0,0.0,0.0
trec-covid,64,256,100,50,1.0,0.0,0.0,0.0,0.0
trec-covid,64,512,20,50,1.0,0.04,0.04,0.0,0.1
trec-covid,64,512,100,50,1.0,0.36,0.36,0.12,0.66
trec-covid,64,1024,20,50,1.0,0.22,0.22,0.08,0.36049999999999727
trec-covid,64,1024,100,50,1.0,1.4,1.4,0.68,2.28
trec-covid,64,2048,20,50,1.0,0.2,0.2,0.08,0.34
trec-covid,64,2048,100,50,1.0,3.28,3.28,1.0,6.540499999999997
trec-covid,64,4096,20,50,1.0,0.3,0.3,0.02,0.68
trec-covid,64,4096,100,50,1.0,1.96,1.96,0.9395,3.180499999999997
trec-covid,64,8192,20,50,0.42,0.2,1.66,0.02,2.620499999999997
trec-covid,64,8192,100,50,0.42,1.94,42.66,0.4,52.82349999999998
trec-covid,64,10000,20,50,0.22,0.0,1.92,0.0,3.04
trec-covid,64,10000,100,50,0.22,0.0,54.02,0.0,63.260999999999996
trec-covid-chrono-r1,1,128,20,30,1.0,0.4,0.4,0.16666666666666666,0.7
trec-covid-chrono-r1,1,128,100,30,1.0,0.4,0.4,0.16666666666666666,0.7
trec-covid-chrono-r1,1,256,20,30,1.0,0.36666666666666664,0.36666666666666664,0.13333333333333333,0.6
