dataset,policy,batch,budget,n,coverage,mean_k_lower,mean_k_upper,k20_lower,k20_upper,median_k_lower,p10_k_lower,empty_lower,empty_upper,at10_lower,at10_upper,at20_lower,at20_upper
nfcorpus,dibud,64,4096,323,1.0,94.17956656346749,94.17956656346749,19.987616099071207,19.987616099071207,100.0,76.0,0.0,0.0,1.0,1.0,0.9969040247678018,0.9969040247678018
nfcorpus,dibud,64,8192,323,1.0,100.0,100.0,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
nfcorpus,dibud,64,10000,323,1.0,100.0,100.0,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
scifact,balanced,1,128,300,1.0,11.236666666666666,11.236666666666666,10.866666666666667,10.866666666666667,10.0,5.0,0.0033333333333333335,0.0033333333333333335,0.5466666666666666,0.5466666666666666,0.08666666666666667,0.08666666666666667
scifact,balanced,1,256,300,1.0,17.536666666666665,17.536666666666665,15.053333333333333,15.053333333333333,16.0,7.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.38,0.38
scifact,balanced,1,512,300,1.0,25.26,25.26,17.663333333333334,17.663333333333334,23.0,11.0,0.0,0.0,0.93,0.93,0.65,0.65
scifact,balanced,1,1024,300,1.0,33.763333333333335,33.763333333333335,18.81,18.81,31.0,14.0,0.0,0.0,0.9766666666666667,0.9766666666666667,0.81,0.81
scifact,balanced,1,2048,300,1.0,43.55,43.55,19.436666666666667,19.436666666666667,39.0,18.0,0.0,0.0,1.0,1.0,0.8733333333333333,0.8733333333333333
scifact,balanced,1,4096,300,1.0,59.09,59.09,19.803333333333335,19.803333333333335,54.0,22.0,0.0,0.0,1.0,1.0,0.95,0.95
scifact,balanced,1,8192,300,0.9733333333333334,98.04,98.46,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
scifact,balanced,1,10000,300,0.9633333333333334,99.21333333333334,100.0,20.0,20.0,100.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0
scifact,balanced,64,128,300,1.0,11.236666666666666,11.236666666666666,10.866666666666667,10.866666666666667,10.0,5.0,0.0033333333333333335,0.0033333333333333335,0.5466666666666666,0.5466666666666666,0.08666666666666667,0.08666666666666667
scifact,balanced,64,256,300,1.0,17.536666666666665,17.536666666666665,15.053333333333333,15.053333333333333,16.0,7.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.38,0.38
