dataset,snapshot,query_id,L,accesses,ndcg10,full_ndcg10,ordered20,overlap20
trec-covid,0,34,10,20,0.15744006533381547,0.3580153433840133,0,0.65
trec-covid,0,34,20,40,0.2626633251188907,0.3580153433840133,0,0.7
trec-covid,0,34,50,100,0.2548073772664688,0.3580153433840133,0,0.8
trec-covid,0,34,100,200,0.32620494928453747,0.3580153433840133,0,0.85
trec-covid,0,34,200,400,0.32620494928453747,0.3580153433840133,0,0.95
trec-covid,0,34,500,1000,0.32620494928453747,0.3580153433840133,0,0.95
trec-covid,0,34,1000,2000,0.32620494928453747,0.3580153433840133,0,0.95
trec-covid,0,34,2000,4000,0.3580153433840133,0.3580153433840133,1,1.0
trec-covid,0,34,5000,10000,0.3580153433840133,0.3580153433840133,1,1.0
trec-covid-chrono-r1,1,7,10,20,0.7849818707050382,0.8701249883466592,0,0.55
trec-covid-chrono-r1,1,7,20,40,0.7967610662472991,0.8701249883466592,0,0.6
trec-covid-chrono-r1,1,7,50,100,0.933745776545611,0.8701249883466592,0,0.85
trec-covid-chrono-r1,1,7,100,200,0.8701249883466592,0.8701249883466592,1,1.0
trec-covid-chrono-r1,1,7,200,400,0.8701249883466592,0.8701249883466592,1,1.0
trec-covid-chrono-r1,1,7,500,1000,0.8701249883466592,0.8701249883466592,1,1.0
trec-covid-chrono-r1,1,7,1000,2000,0.8701249883466592,0.8701249883466592,1,1.0
trec-covid-chrono-r1,1,7,2000,4000,0.8701249883466592,0.8701249883466592,1,1.0
trec-covid-chrono-r1,1,7,5000,10000,0.8701249883466592,0.8701249883466592,1,1.0
trec-covid-chrono-r1,1,17,10,20,0.7570111083995952,0.8913696435738849,0,0.45
trec-covid-chrono-r1,1,17,20,40,0.8911742177248004,0.8913696435738849,0,0.55
trec-covid-chrono-r1,1,17,50,100,0.8277488553749334,0.8913696435738849,0,0.75
trec-covid-chrono-r1,1,17,100,200,0.8913696435738849,0.8913696435738849,0,0.9
