dataset,query_id,budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
msmarco-passage-trec-dl-2019,47923,128,balanced_zero,20,0.5123773350843918,0.3338230861874565,0.16964285714285715
msmarco-passage-trec-dl-2019,47923,128,balanced_zero,100,0.5123773350843918,0.3338230861874565,0.39285714285714285
msmarco-passage-trec-dl-2019,405717,128,balanced_zero,20,0.5254096938478459,0.4474990213371721,0.37142857142857144
msmarco-passage-trec-dl-2019,405717,128,balanced_zero,100,0.5254096938478459,0.4474990213371721,0.6571428571428571
msmarco-passage-trec-dl-2019,182539,128,balanced_zero,20,0.697345030871074,0.5935587324589802,0.3584905660377358
msmarco-passage-trec-dl-2019,182539,128,balanced_zero,100,0.697345030871074,0.5935587324589802,0.8301886792452831
msmarco-passage-trec-dl-2019,1113437,128,balanced_zero,20,0.27489164920288794,0.19580352632229736,0.1038961038961039
msmarco-passage-trec-dl-2019,1113437,128,balanced_zero,100,0.27489164920288794,0.19580352632229736,0.4025974025974026
msmarco-passage-trec-dl-2019,1129237,128,balanced_zero,20,0.7542236021833271,0.7180897471647472,0.5714285714285714
msmarco-passage-trec-dl-2019,1129237,128,balanced_zero,100,0.7542236021833271,0.7180897471647472,0.8571428571428571
msmarco-passage-trec-dl-2019,146187,128,balanced_zero,20,0.8206551819920924,0.7542514543007663,0.5217391304347826
msmarco-passage-trec-dl-2019,146187,128,balanced_zero,100,0.8206551819920924,0.7542514543007663,0.8260869565217391
msmarco-passage-trec-dl-2019,156493,128,balanced_cert,20,0.9504318313235595,0.8865613677260856,0.13533834586466165
msmarco-passage-trec-dl-2019,156493,128,balanced_cert,100,0.9504318313235595,0.8865613677260856,0.13533834586466165
msmarco-passage-trec-dl-2019,1110199,128,balanced_cert,20,0.30357688682925665,0.20085367499935008,0.08571428571428572
msmarco-passage-trec-dl-2019,1110199,128,balanced_cert,100,0.30357688682925665,0.20085367499935008,0.08571428571428572
msmarco-passage-trec-dl-2019,1063750,128,balanced_cert,20,0.3799109563336586,0.28855622892718963,0.010869565217391304
msmarco-passage-trec-dl-2019,1063750,128,balanced_cert,100,0.3799109563336586,0.28855622892718963,0.010869565217391304
msmarco-passage-trec-dl-2019,130510,128,balanced_cert,20,0.8223182274712042,0.7468404933801903,0.6785714285714286
msmarco-passage-trec-dl-2019,130510,128,balanced_cert,100,0.8223182274712042,0.7468404933801903,0.75
msmarco-passage-trec-dl-2019,489204,128,balanced_cert,20,0.4026527735058151,0.315450506619481,0.041666666666666664
msmarco-passage-trec-dl-2019,489204,128,balanced_cert,100,0.4026527735058151,0.315450506619481,0.041666666666666664
msmarco-passage-trec-dl-2019,573724,128,balanced_cert,20,0.6177623502838339,0.4491786950835266,0.2608695652173913
msmarco-passage-trec-dl-2019,573724,128,balanced_cert,100,0.6177623502838339,0.4491786950835266,0.2608695652173913
msmarco-passage-trec-dl-2019,168216,128,balanced_cert,20,0.9363792118010483,0.9363792118010483,0.031141868512110725
msmarco-passage-trec-dl-2019,168216,128,balanced_cert,100,0.9363792118010483,0.9363792118010483,0.031141868512110725
msmarco-passage-trec-dl-2019,1133167,128,balanced_cert,20,0.48488656287368126,0.3117127904187951,0.021052631578947368
msmarco-passage-trec-dl-2019,1133167,128,balanced_cert,100,0.48488656287368126,0.3117127904187951,0.021052631578947368
msmarco-passage-trec-dl-2019,527433,128,balanced_cert,20,0.5793076674775997,0.4861439509342491,0.08
msmarco-passage-trec-dl-2019,527433,128,balanced_cert,100,0.5793076674775997,0.4861439509342491,0.08
msmarco-passage-trec-dl-2019,1037798,128,balanced_cert,20,0.09203475405180912,0.1148764147845039,0.07692307692307693
msmarco-passage-trec-dl-2019,1037798,128,balanced_cert,100,0.09203475405180912,0.1148764147845039,0.07692307692307693
msmarco-passage-trec-dl-2019,915593,128,balanced_cert,20,0.5271064966405455,0.500905095890774,0.043478260869565216
