dataset,budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
msmarco-passage-trec-dl-2020,8192,blocker_cert,20,0.6242520728424649,0.5807015822873915,0.31143062781714176
msmarco-passage-trec-dl-2020,8192,blocker_cert,100,0.6242520728424649,0.5807015822873915,0.47760284569258177
msmarco-passage-trec-dl-2020,8192,blocker_zero,20,0.6242520728424649,0.5807015822873915,0.3229087858321934
msmarco-passage-trec-dl-2020,8192,blocker_zero,100,0.6242520728424649,0.5807015822873915,0.6238923981371203
msmarco-passage-trec-dl-2020,8192,fixed_topL_zero,20,0.6242520728424649,0.5807015822873915,0.3229087858321934
msmarco-passage-trec-dl-2020,8192,fixed_topL_zero,100,0.6242520728424649,0.5807015822873915,0.6238923981371203
msmarco-passage-trec-dl-2020,10000,balanced_cert,20,0.6242520728424649,0.5807015822873915,0.31143062781714176
msmarco-passage-trec-dl-2020,10000,balanced_cert,100,0.6242520728424649,0.5807015822873915,0.47793405006158685
msmarco-passage-trec-dl-2020,10000,balanced_zero,20,0.6242520728424649,0.5807015822873915,0.3229087858321934
msmarco-passage-trec-dl-2020,10000,balanced_zero,100,0.6242520728424649,0.5807015822873915,0.6238923981371203
msmarco-passage-trec-dl-2020,10000,blocker_cert,20,0.6242520728424649,0.5807015822873915,0.31143062781714176
msmarco-passage-trec-dl-2020,10000,blocker_cert,100,0.6242520728424649,0.5807015822873915,0.47793405006158685
msmarco-passage-trec-dl-2020,10000,blocker_zero,20,0.6242520728424649,0.5807015822873915,0.3229087858321934
msmarco-passage-trec-dl-2020,10000,blocker_zero,100,0.6242520728424649,0.5807015822873915,0.6238923981371203
msmarco-passage-trec-dl-2020,10000,fixed_topL_zero,20,0.6242520728424649,0.5807015822873915,0.3229087858321934
msmarco-passage-trec-dl-2020,10000,fixed_topL_zero,100,0.6242520728424649,0.5807015822873915,0.6238923981371203
nfcorpus,128,balanced_cert,20,0.34833748215756805,0.3497725767591217,0.18284163884556087
nfcorpus,128,balanced_cert,100,0.34833748215756805,0.3497725767591217,0.19167880508351656
nfcorpus,128,balanced_zero,20,0.3630357126674542,0.36441200886010966,0.21383974085487217
nfcorpus,128,balanced_zero,100,0.3630357126674542,0.36441200886010966,0.31259689014285563
nfcorpus,128,blocker_cert,20,0.34833748215756805,0.3497725767591217,0.18284163884556087
nfcorpus,128,blocker_cert,100,0.34833748215756805,0.3497725767591217,0.19167880508351656
