dataset,query_id,policy,work_budget,dense_depth,sparse_depth,dense_work_share,absolute_depth_gap,certified_k_cap100,certified_at_least_100,next_certificate_gap,seen_candidates,returned_ndcg_at10,full_ndcg_at10,ndcg_retention,returned_recall_at100,full_recall_at100,recall_retention
msmarco-passage-trec-dl-2019,451602,balanced,10000,5000,5000,0.5,0,75,0,-3.534369170665741e-05,9093,0.28489204476939767,0.28489204476939767,1.0,0.2077922077922078,0.23376623376623376,0.888888888888889
msmarco-passage-trec-dl-2019,451602,blocker,128,64,64,0.5,0,8,0,-2.4763867259025574e-05,109,0.24740869354623782,0.28489204476939767,0.8684296318154469,0.025974025974025976,0.23376623376623376,0.11111111111111112
msmarco-passage-trec-dl-2019,451602,blocker,256,128,128,0.5,0,16,0,-0.00023741461336612701,215,0.28489204476939767,0.28489204476939767,1.0,0.07142857142857142,0.23376623376623376,0.3055555555555555
msmarco-passage-trec-dl-2019,451602,blocker,512,256,256,0.5,0,25,0,-9.859539568424225e-05,403,0.28489204476939767,0.28489204476939767,1.0,0.09090909090909091,0.23376623376623376,0.3888888888888889
msmarco-passage-trec-dl-2019,451602,blocker,1024,576,448,0.5625,128,31,0,-0.00012654252350330353,827,0.28489204476939767,0.28489204476939767,1.0,0.11038961038961038,0.23376623376623376,0.4722222222222222
msmarco-passage-trec-dl-2019,451602,blocker,2048,1536,512,0.75,1024,36,0,-3.2024458050727844e-05,1784,0.28489204476939767,0.28489204476939767,1.0,0.12987012987012986,0.23376623376623376,0.5555555555555555
msmarco-passage-trec-dl-2019,451602,blocker,4096,2880,1216,0.703125,1664,74,0,-5.23468479514122e-05,3626,0.28489204476939767,0.28489204476939767,1.0,0.2077922077922078,0.23376623376623376,0.888888888888889
msmarco-passage-trec-dl-2019,451602,blocker,8192,5000,3192,0.6103515625,1808,75,0,-3.534369170665741e-05,7388,0.28489204476939767,0.28489204476939767,1.0,0.2077922077922078,0.23376623376623376,0.888888888888889
msmarco-passage-trec-dl-2019,451602,blocker,10000,5000,5000,0.5,0,75,0,-3.534369170665741e-05,9093,0.28489204476939767,0.28489204476939767,1.0,0.2077922077922078,0.23376623376623376,0.888888888888889
msmarco-passage-trec-dl-2019,451602,pressure,128,64,64,0.5,0,8,0,-2.4763867259025574e-05,109,0.24740869354623782,0.28489204476939767,0.8684296318154469,0.025974025974025976,0.23376623376623376,0.11111111111111112
msmarco-passage-trec-dl-2019,451602,pressure,256,128,128,0.5,0,16,0,-0.00023741461336612701,215,0.28489204476939767,0.28489204476939767,1.0,0.07142857142857142,0.23376623376623376,0.3055555555555555
msmarco-passage-trec-dl-2019,451602,pressure,512,256,256,0.5,0,25,0,-9.859539568424225e-05,403,0.28489204476939767,0.28489204476939767,1.0,0.09090909090909091,0.23376623376623376,0.3888888888888889
msmarco-passage-trec-dl-2019,451602,pressure,1024,576,448,0.5625,128,31,0,-0.00012654252350330353,827,0.28489204476939767,0.28489204476939767,1.0,0.11038961038961038,0.23376623376623376,0.4722222222222222
msmarco-passage-trec-dl-2019,451602,pressure,2048,1536,512,0.75,1024,36,0,-3.2024458050727844e-05,1784,0.28489204476939767,0.28489204476939767,1.0,0.12987012987012986,0.23376623376623376,0.5555555555555555
msmarco-passage-trec-dl-2019,451602,pressure,4096,2816,1280,0.6875,1536,74,0,-5.991663783788681e-05,3611,0.28489204476939767,0.28489204476939767,1.0,0.2077922077922078,0.23376623376623376,0.888888888888889
msmarco-passage-trec-dl-2019,451602,pressure,8192,5000,3192,0.6103515625,1808,75,0,-3.534369170665741e-05,7388,0.28489204476939767,0.28489204476939767,1.0,0.2077922077922078,0.23376623376623376,0.888888888888889
msmarco-passage-trec-dl-2019,451602,pressure,10000,5000,5000,0.5,0,75,0,-3.534369170665741e-05,9093,0.28489204476939767,0.28489204476939767,1.0,0.2077922077922078,0.23376623376623376,0.888888888888889
msmarco-passage-trec-dl-2019,451602,allocation-grid-oracle,128,64,64,0.5,0,8,0,-2.4763867259025574e-05,109,0.24740869354623782,0.28489204476939767,0.8684296318154469,0.025974025974025976,0.23376623376623376,0.11111111111111112
msmarco-passage-trec-dl-2019,451602,allocation-grid-oracle,256,128,128,0.5,0,16,0,-0.00023741461336612701,215,0.28489204476939767,0.28489204476939767,1.0,0.07142857142857142,0.23376623376623376,0.3055555555555555
msmarco-passage-trec-dl-2019,451602,allocation-grid-oracle,512,256,256,0.5,0,25,0,-9.859539568424225e-05,403,0.28489204476939767,0.28489204476939767,1.0,0.09090909090909091,0.23376623376623376,0.3888888888888889
msmarco-passage-trec-dl-2019,451602,allocation-grid-oracle,1024,576,448,0.5625,128,31,0,-0.00012654252350330353,827,0.28489204476939767,0.28489204476939767,1.0,0.11038961038961038,0.23376623376623376,0.4722222222222222
msmarco-passage-trec-dl-2019,451602,allocation-grid-oracle,2048,1536,512,0.75,1024,36,0,-3.2024458050727844e-05,1784,0.28489204476939767,0.28489204476939767,1.0,0.12987012987012986,0.23376623376623376,0.5555555555555555
