dataset,snapshot,query_id,L,accesses,ndcg10,full_ndcg10,ordered20,overlap20
nfcorpus,0,PLAIN-1203,1000,1552,0.3589542101716347,0.3589542101716347,1,1.0
nfcorpus,0,PLAIN-1203,2000,2552,0.3589542101716347,0.3589542101716347,1,1.0
nfcorpus,0,PLAIN-1203,5000,4185,0.3589542101716347,0.3589542101716347,1,1.0
nfcorpus,0,PLAIN-1214,10,10,0.0,0.0,0,0.5
nfcorpus,0,PLAIN-1214,20,20,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1214,50,50,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1214,100,100,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1214,200,200,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1214,500,500,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1214,1000,1000,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1214,2000,2000,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1214,5000,3633,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1225,10,20,0.5252098581198154,0.5914640815742044,0,0.55
nfcorpus,0,PLAIN-1225,20,40,0.5914640815742044,0.5914640815742044,0,0.75
nfcorpus,0,PLAIN-1225,50,74,0.5914640815742044,0.5914640815742044,0,0.85
nfcorpus,0,PLAIN-1225,100,124,0.5914640815742044,0.5914640815742044,0,0.85
nfcorpus,0,PLAIN-1225,200,224,0.5914640815742044,0.5914640815742044,0,0.9
nfcorpus,0,PLAIN-1225,500,524,0.5914640815742044,0.5914640815742044,1,1.0
nfcorpus,0,PLAIN-1225,1000,1024,0.5914640815742044,0.5914640815742044,1,1.0
nfcorpus,0,PLAIN-1225,2000,2024,0.5914640815742044,0.5914640815742044,1,1.0
nfcorpus,0,PLAIN-1225,5000,3657,0.5914640815742044,0.5914640815742044,1,1.0
nfcorpus,0,PLAIN-123,10,20,0.12741733550370724,0.20413021541210133,0,0.6
nfcorpus,0,PLAIN-123,20,40,0.12741733550370724,0.20413021541210133,0,0.6
nfcorpus,0,PLAIN-123,50,100,0.12741733550370724,0.20413021541210133,0,0.7
nfcorpus,0,PLAIN-123,100,200,0.21236222583951206,0.20413021541210133,0,0.8
nfcorpus,0,PLAIN-123,200,400,0.20413021541210133,0.20413021541210133,0,0.9
nfcorpus,0,PLAIN-123,500,1000,0.20413021541210133,0.20413021541210133,0,1.0
nfcorpus,0,PLAIN-123,1000,1524,0.20413021541210133,0.20413021541210133,0,1.0
nfcorpus,0,PLAIN-123,2000,2524,0.20413021541210133,0.20413021541210133,0,1.0
nfcorpus,0,PLAIN-123,5000,4157,0.20413021541210133,0.20413021541210133,1,1.0
nfcorpus,0,PLAIN-1236,10,11,0.3391602052736161,0.3391602052736161,0,0.5
nfcorpus,0,PLAIN-1236,20,21,0.3391602052736161,0.3391602052736161,1,1.0
nfcorpus,0,PLAIN-1236,50,51,0.3391602052736161,0.3391602052736161,1,1.0
nfcorpus,0,PLAIN-1236,100,101,0.3391602052736161,0.3391602052736161,1,1.0
nfcorpus,0,PLAIN-1236,200,201,0.3391602052736161,0.3391602052736161,1,1.0
nfcorpus,0,PLAIN-1236,500,501,0.3391602052736161,0.3391602052736161,1,1.0
nfcorpus,0,PLAIN-1236,1000,1001,0.3391602052736161,0.3391602052736161,1,1.0
nfcorpus,0,PLAIN-1236,2000,2001,0.3391602052736161,0.3391602052736161,1,1.0
nfcorpus,0,PLAIN-1236,5000,3634,0.3391602052736161,0.3391602052736161,1,1.0
nfcorpus,0,PLAIN-1249,10,20,0.0,0.0,0,0.35
nfcorpus,0,PLAIN-1249,20,40,0.0,0.0,0,0.35
nfcorpus,0,PLAIN-1249,50,100,0.0,0.0,0,0.6
nfcorpus,0,PLAIN-1249,100,200,0.0,0.0,0,0.85
nfcorpus,0,PLAIN-1249,200,360,0.0,0.0,0,0.9
nfcorpus,0,PLAIN-1249,500,660,0.0,0.0,0,0.95
nfcorpus,0,PLAIN-1249,1000,1160,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1249,2000,2160,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1249,5000,3793,0.0,0.0,1,1.0
nfcorpus,0,PLAIN-1262,10,20,0.424926013816671,0.424926013816671,0,0.55
nfcorpus,0,PLAIN-1262,20,40,0.424926013816671,0.424926013816671,0,0.65
nfcorpus,0,PLAIN-1262,50,100,0.424926013816671,0.424926013816671,0,0.9
nfcorpus,0,PLAIN-1262,100,200,0.424926013816671,0.424926013816671,1,1.0
nfcorpus,0,PLAIN-1262,200,400,0.424926013816671,0.424926013816671,1,1.0
nfcorpus,0,PLAIN-1262,500,1000,0.424926013816671,0.424926013816671,1,1.0
nfcorpus,0,PLAIN-1262,1000,2000,0.424926013816671,0.424926013816671,1,1.0
nfcorpus,0,PLAIN-1262,2000,4000,0.424926013816671,0.424926013816671,1,1.0
nfcorpus,0,PLAIN-1262,5000,6437,0.424926013816671,0.424926013816671,1,1.0
nfcorpus,0,PLAIN-1275,10,20,0.623574432899073,0.538431315257452,0,0.6
nfcorpus,0,PLAIN-1275,20,40,0.604685538711841,0.538431315257452,0,0.65
nfcorpus,0,PLAIN-1275,50,96,0.538431315257452,0.538431315257452,0,0.95
nfcorpus,0,PLAIN-1275,100,146,0.538431315257452,0.538431315257452,1,1.0
nfcorpus,0,PLAIN-1275,200,246,0.538431315257452,0.538431315257452,1,1.0
nfcorpus,0,PLAIN-1275,500,546,0.538431315257452,0.538431315257452,1,1.0
nfcorpus,0,PLAIN-1275,1000,1046,0.538431315257452,0.538431315257452,1,1.0
nfcorpus,0,PLAIN-1275,2000,2046,0.538431315257452,0.538431315257452,1,1.0
nfcorpus,0,PLAIN-1275,5000,3679,0.538431315257452,0.538431315257452,1,1.0
nfcorpus,0,PLAIN-1288,10,20,0.7600791051976191,0.8899541168509599,0,0.6
nfcorpus,0,PLAIN-1288,20,40,0.8899541168509599,0.8899541168509599,0,0.65
nfcorpus,0,PLAIN-1288,50,79,0.8899541168509599,0.8899541168509599,0,0.9
nfcorpus,0,PLAIN-1288,100,129,0.8899541168509599,0.8899541168509599,1,1.0
nfcorpus,0,PLAIN-1288,200,229,0.8899541168509599,0.8899541168509599,1,1.0
nfcorpus,0,PLAIN-1288,500,529,0.8899541168509599,0.8899541168509599,1,1.0
nfcorpus,0,PLAIN-1288,1000,1029,0.8899541168509599,0.8899541168509599,1,1.0
nfcorpus,0,PLAIN-1288,2000,2029,0.8899541168509599,0.8899541168509599,1,1.0
nfcorpus,0,PLAIN-1288,5000,3662,0.8899541168509599,0.8899541168509599,1,1.0
nfcorpus,0,PLAIN-1299,10,20,0.06943122193677727,0.15850703974098102,0,0.55
nfcorpus,0,PLAIN-1299,20,40,0.08514311764162098,0.15850703974098102,0,0.7
nfcorpus,0,PLAIN-1299,50,100,0.15850703974098102,0.15850703974098102,0,0.85
nfcorpus,0,PLAIN-1299,100,200,0.15850703974098102,0.15850703974098102,1,1.0
nfcorpus,0,PLAIN-1299,200,400,0.15850703974098102,0.15850703974098102,1,1.0
nfcorpus,0,PLAIN-1299,500,912,0.15850703974098102,0.15850703974098102,1,1.0
nfcorpus,0,PLAIN-1299,1000,1412,0.15850703974098102,0.15850703974098102,1,1.0
nfcorpus,0,PLAIN-1299,2000,2412,0.15850703974098102,0.15850703974098102,1,1.0
nfcorpus,0,PLAIN-1299,5000,4045,0.15850703974098102,0.15850703974098102,1,1.0
