dataset,snapshot,policy,batch,accesses,dense,sparse,known,stop,k,k_lower,k_upper,k20,ndcg20,full_ndcg20,cost20,baseline20_complete,budget20_cost,elapsed_seconds,baseline_cost_lower,capped_cost_upper,ndcg20_upper,query_id,budget,target,fold
msmarco-passage-trec-dl-2019,0,dibud,1,1024,426,598,1,budget,12,12,12,12,0.4774901481989712,0.5627081954560113,5359,1,1024,0.2720160484313965,5359.0,1024.0,0.4774901481989712,1103812,1024,0.95,4
msmarco-passage-trec-dl-2019,0,dibud,1,1024,392,632,1,budget,21,21,21,20,0.5954183374011592,0.5954183374011592,964,1,964,0.3026518821716308,964.0,964.0,0.5954183374011592,1106007,1024,0.95,4
msmarco-passage-trec-dl-2019,0,dibud,1,1024,512,512,1,budget,13,13,13,13,0.3082676907929869,0.339162891621534,1746,1,1024,0.2546560764312744,1746.0,1024.0,0.3082676907929869,1113437,1024,0.95,4
msmarco-passage-trec-dl-2019,0,dibud,1,1024,750,274,1,budget,88,88,88,20,0.794386965420065,0.794386965420065,184,1,184,0.0401039123535156,184.0,184.0,0.794386965420065,1114819,1024,0.95,4
msmarco-passage-trec-dl-2019,0,dibud,1,1024,340,684,1,budget,39,39,39,20,0.7335871746509132,0.7335871746509132,358,1,358,0.0621430873870849,358.0,358.0,0.7335871746509132,1133167,1024,0.95,4
msmarco-passage-trec-dl-2019,0,dibud,1,1024,538,486,1,budget,67,67,67,20,0.8744845044083842,0.8744845044083842,98,1,98,0.029299259185791,98.0,98.0,0.8744845044083842,359349,1024,0.95,4
msmarco-passage-trec-dl-2019,0,dibud,1,1024,512,512,1,budget,44,44,44,20,0.6658689098011058,0.6658689098011058,141,1,141,0.0595300197601318,141.0,141.0,0.6658689098011058,47923,1024,0.95,4
msmarco-passage-trec-dl-2019,0,dibud,1,10000,9105,895,1,budget,70,70,70,20,1.0,1.0,475,1,475,0.6982300281524658,475.0,475.0,1.0,104861,10000,0.99,0
msmarco-passage-trec-dl-2019,0,dibud,1,10000,1072,8928,1,budget,36,36,36,20,0.5941198942441208,0.5941198942441208,186,1,186,0.2668628692626953,186.0,186.0,0.5941198942441208,1114646,10000,0.99,0
msmarco-passage-trec-dl-2019,0,dibud,1,4708,2991,1717,1,cap100,100,100,100,20,0.4596195627751552,0.4596195627751552,197,1,197,0.0551192760467529,197.0,197.0,0.4596195627751552,148538,10000,0.99,0
