dataset,budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
trec-covid-chrono-r2,10000,balanced_zero,20,0.7103562450992811,0.6819759562755126,0.07491884634688549
trec-covid-chrono-r2,10000,balanced_zero,100,0.7103562450992811,0.6819759562755126,0.22821014118016716
trec-covid-chrono-r2,10000,blocker_cert,20,0.7080948210094282,0.6804683402156106,0.07242860356435665
trec-covid-chrono-r2,10000,blocker_cert,100,0.7080948210094282,0.6804683402156106,0.15302185958262415
trec-covid-chrono-r2,10000,blocker_zero,20,0.7103562450992811,0.6819759562755126,0.07491884634688549
trec-covid-chrono-r2,10000,blocker_zero,100,0.7103562450992811,0.6819759562755126,0.22821014118016716
trec-covid-chrono-r2,10000,fixed_topL_zero,20,0.7103562450992811,0.6819759562755126,0.07491884634688549
trec-covid-chrono-r2,10000,fixed_topL_zero,100,0.7103562450992811,0.6819759562755126,0.22821014118016716
trec-covid-chrono-r3,128,balanced_cert,20,0.5199689360691008,0.5035682116378246,0.015453865935137414
trec-covid-chrono-r3,128,balanced_cert,100,0.5199689360691008,0.5035682116378246,0.015453865935137414
trec-covid-chrono-r3,128,balanced_zero,20,0.7387012716812019,0.7134391909059871,0.042433570788167584
trec-covid-chrono-r3,128,balanced_zero,100,0.7387012716812019,0.7134391909059871,0.13972582921752083
trec-covid-chrono-r3,128,blocker_cert,20,0.5199689360691008,0.5035682116378246,0.015453865935137414
trec-covid-chrono-r3,128,blocker_cert,100,0.5199689360691008,0.5035682116378246,0.015453865935137414
trec-covid-chrono-r3,128,blocker_zero,20,0.7387012716812019,0.7134391909059871,0.042433570788167584
trec-covid-chrono-r3,128,blocker_zero,100,0.7387012716812019,0.7134391909059871,0.13972582921752083
trec-covid-chrono-r3,128,fixed_topL_zero,20,0.7387012716812019,0.7134391909059871,0.042433570788167584
trec-covid-chrono-r3,128,fixed_topL_zero,100,0.7387012716812019,0.7134391909059871,0.13972582921752083
trec-covid-chrono-r3,256,balanced_cert,20,0.6542781520970503,0.6321293735028137,0.025541423770470542
trec-covid-chrono-r3,256,balanced_cert,100,0.6542781520970503,0.6321293735028137,0.026857424136821233
trec-covid-chrono-r3,256,balanced_zero,20,0.7634251429789407,0.7370528230887917,0.04454668480434497
trec-covid-chrono-r3,256,balanced_zero,100,0.7634251429789407,0.7370528230887917,0.14356062292449237
trec-covid-chrono-r3,256,blocker_cert,20,0.6542781520970503,0.6321293735028137,0.025541423770470542
trec-covid-chrono-r3,256,blocker_cert,100,0.6542781520970503,0.6321293735028137,0.026857424136821233
trec-covid-chrono-r3,256,blocker_zero,20,0.7634251429789407,0.7370528230887917,0.04454668480434497
trec-covid-chrono-r3,256,blocker_zero,100,0.7634251429789407,0.7370528230887917,0.14356062292449237
trec-covid-chrono-r3,256,fixed_topL_zero,20,0.7634251429789407,0.7370528230887917,0.04454668480434497
trec-covid-chrono-r3,256,fixed_topL_zero,100,0.7634251429789407,0.7370528230887917,0.14356062292449237
trec-covid-chrono-r3,512,balanced_cert,20,0.6899361324414068,0.6672607518228949,0.03355613596066734
trec-covid-chrono-r3,512,balanced_cert,100,0.6899361324414068,0.6672607518228949,0.03951846562067472
trec-covid-chrono-r3,512,balanced_zero,20,0.7643081069966732,0.7379762782836903,0.046030069852522934
