dataset,query_id,budget,method,cap,ndcg10_linear,ndcg10_exponential,recall
trec-covid-chrono-r5,23,128,balanced_zero,100,0.9574284411791895,0.9432379215722527,0.1291139240506329
trec-covid-chrono-r5,24,128,balanced_zero,20,0.94497705842548,0.9266360779006398,0.035555555555555556
trec-covid-chrono-r5,24,128,balanced_zero,100,0.94497705842548,0.9266360779006398,0.13333333333333333
trec-covid-chrono-r5,25,128,balanced_zero,20,0.9266360779006401,0.92663607790064,0.02608695652173913
trec-covid-chrono-r5,25,128,balanced_zero,100,0.9266360779006401,0.92663607790064,0.08521739130434783
trec-covid-chrono-r5,26,128,balanced_zero,20,0.5637884576902256,0.5637884576902256,0.009615384615384616
trec-covid-chrono-r5,26,128,balanced_zero,100,0.5637884576902256,0.5637884576902256,0.03245192307692308
trec-covid-chrono-r5,27,128,balanced_zero,20,0.7891005442439619,0.7644622957580532,0.01220865704772475
trec-covid-chrono-r5,27,128,balanced_zero,100,0.7891005442439619,0.7644622957580532,0.06104328523862375
trec-covid-chrono-r5,28,128,balanced_zero,20,0.8521705090845474,0.8521705090845474,0.02106969205834684
trec-covid-chrono-r5,28,128,balanced_zero,100,0.8521705090845474,0.8521705090845474,0.10210696920583469
trec-covid-chrono-r5,29,128,balanced_zero,20,0.8716131363261199,0.8532721558012798,0.023112480739599383
trec-covid-chrono-r5,29,128,balanced_zero,100,0.8716131363261199,0.8532721558012798,0.09090909090909091
trec-covid-chrono-r5,30,128,balanced_zero,20,1.0,1.0,0.04950495049504951
trec-covid-chrono-r5,30,128,balanced_zero,100,1.0,1.0,0.18811881188118812
trec-covid-chrono-r5,1,128,balanced_cert,20,0.11004588314904008,0.07336392209936005,0.001430615164520744
trec-covid-chrono-r5,1,128,balanced_cert,100,0.11004588314904008,0.07336392209936005,0.001430615164520744
trec-covid-chrono-r5,2,128,balanced_cert,20,0.5087655161157055,0.49042453559086546,0.011940298507462687
trec-covid-chrono-r5,2,128,balanced_cert,100,0.5087655161157055,0.49042453559086546,0.011940298507462687
trec-covid-chrono-r5,3,128,balanced_cert,20,0.6489315753318465,0.6489315753318465,0.007668711656441718
trec-covid-chrono-r5,3,128,balanced_cert,100,0.6489315753318465,0.6489315753318465,0.007668711656441718
trec-covid-chrono-r5,4,128,balanced_cert,20,0.0,0.0,0.0
trec-covid-chrono-r5,4,128,balanced_cert,100,0.0,0.0,0.0
trec-covid-chrono-r5,5,128,balanced_cert,20,0.5087655161157055,0.49042453559086546,0.006191950464396285
trec-covid-chrono-r5,5,128,balanced_cert,100,0.5087655161157055,0.49042453559086546,0.006191950464396285
trec-covid-chrono-r5,6,128,balanced_cert,20,0.5637884576902256,0.5637884576902256,0.004024144869215292
trec-covid-chrono-r5,6,128,balanced_cert,100,0.5637884576902256,0.5637884576902256,0.004024144869215292
trec-covid-chrono-r5,7,128,balanced_cert,20,0.857980942822373,0.8579809428223729,0.015267175572519083
trec-covid-chrono-r5,7,128,balanced_cert,100,0.857980942822373,0.8579809428223729,0.015267175572519083
trec-covid-chrono-r5,8,128,balanced_cert,20,0.3589542101716347,0.35895421017163465,0.0030864197530864196
trec-covid-chrono-r5,8,128,balanced_cert,100,0.3589542101716347,0.35895421017163465,0.0030864197530864196
trec-covid-chrono-r5,9,128,balanced_cert,20,0.0,0.0,0.0
trec-covid-chrono-r5,9,128,balanced_cert,100,0.0,0.0,0.0
trec-covid-chrono-r5,10,128,balanced_cert,20,0.6881307098211842,0.6750643316580717,0.012072434607645875
trec-covid-chrono-r5,10,128,balanced_cert,100,0.6881307098211842,0.6750643316580717,0.012072434607645875
trec-covid-chrono-r5,11,128,balanced_cert,20,0.45306437485515383,0.42992063420956134,0.00904977375565611
trec-covid-chrono-r5,11,128,balanced_cert,100,0.45306437485515383,0.42992063420956134,0.00904977375565611
trec-covid-chrono-r5,12,128,balanced_cert,20,0.0,0.0,0.0
trec-covid-chrono-r5,12,128,balanced_cert,100,0.0,0.0,0.0
trec-covid-chrono-r5,13,128,balanced_cert,20,0.914856882358379,0.914856882358379,0.009782608695652175
trec-covid-chrono-r5,13,128,balanced_cert,100,0.914856882358379,0.914856882358379,0.009782608695652175
trec-covid-chrono-r5,14,128,balanced_cert,20,0.933745776545611,0.933745776545611,0.03663003663003663
trec-covid-chrono-r5,14,128,balanced_cert,100,0.933745776545611,0.933745776545611,0.03663003663003663
trec-covid-chrono-r5,15,128,balanced_cert,20,0.22009176629808017,0.22009176629808014,0.002242152466367713
trec-covid-chrono-r5,15,128,balanced_cert,100,0.22009176629808017,0.22009176629808014,0.002242152466367713
trec-covid-chrono-r5,16,128,balanced_cert,20,0.4537425745411855,0.4170606134915054,0.00975609756097561
trec-covid-chrono-r5,16,128,balanced_cert,100,0.4537425745411855,0.4170606134915054,0.00975609756097561
trec-covid-chrono-r5,17,128,balanced_cert,20,0.0,0.0,0.0
trec-covid-chrono-r5,17,128,balanced_cert,100,0.0,0.0,0.0
trec-covid-chrono-r5,18,128,balanced_cert,20,0.22009176629808017,0.22009176629808014,0.0015015015015015015
trec-covid-chrono-r5,18,128,balanced_cert,100,0.22009176629808017,0.22009176629808014,0.0015015015015015015
