dataset,query_id,repetition,policy,seconds,calls,k100
msmarco-passage-trec-dl-2020,1136962,2,grouped-blocker64,0.0025417921133339405,33,69
msmarco-passage-trec-dl-2020,1136962,2,grouped-unit,0.014925875118933618,2049,69
msmarco-passage-trec-dl-2020,1132532,0,array-unit,0.3428426270838827,2049,37
msmarco-passage-trec-dl-2020,1132532,0,grouped-blocker64,0.0024662920041009784,33,37
msmarco-passage-trec-dl-2020,1132532,0,grouped-unit,0.015287125017493963,2049,37
msmarco-passage-trec-dl-2020,1132532,0,grouped-handoff64,0.013286373810842633,705,37
msmarco-passage-trec-dl-2020,1132532,0,array-blocker64,0.005697001121006906,33,37
msmarco-passage-trec-dl-2020,1132532,1,grouped-blocker64,0.002456165966577828,33,37
msmarco-passage-trec-dl-2020,1132532,1,grouped-unit,0.015506833791732788,2049,37
msmarco-passage-trec-dl-2020,1132532,1,grouped-handoff64,0.013477624859660864,705,37
msmarco-passage-trec-dl-2020,1132532,1,array-blocker64,0.005939917056821287,33,37
msmarco-passage-trec-dl-2020,1132532,1,array-unit,0.3457966661080718,2049,37
msmarco-passage-trec-dl-2020,1132532,2,grouped-unit,0.015721457893960178,2049,37
msmarco-passage-trec-dl-2020,1132532,2,grouped-handoff64,0.01381583302281797,705,37
msmarco-passage-trec-dl-2020,1132532,2,array-blocker64,0.006112875300459564,33,37
msmarco-passage-trec-dl-2020,1132532,2,array-unit,0.3525280418107286,2049,37
msmarco-passage-trec-dl-2020,1132532,2,grouped-blocker64,0.002484791912138462,33,37
msmarco-passage-trec-dl-2020,877809,0,array-unit,0.3918116681743413,2049,56
msmarco-passage-trec-dl-2020,877809,0,grouped-blocker64,0.002682083868421614,33,56
msmarco-passage-trec-dl-2020,877809,0,grouped-unit,0.015375831862911582,2049,56
msmarco-passage-trec-dl-2020,877809,0,grouped-handoff64,0.009756499901413918,466,56
msmarco-passage-trec-dl-2020,877809,0,array-blocker64,0.006523458985611796,33,56
msmarco-passage-trec-dl-2020,877809,1,grouped-blocker64,0.0025502900825813413,33,56
msmarco-passage-trec-dl-2020,877809,1,grouped-unit,0.015059499186463654,2049,56
msmarco-passage-trec-dl-2020,877809,1,grouped-handoff64,0.009719664929434657,466,56
msmarco-passage-trec-dl-2020,877809,1,array-blocker64,0.006407917011529207,33,56
msmarco-passage-trec-dl-2020,877809,1,array-unit,0.383439208031632,2049,56
msmarco-passage-trec-dl-2020,877809,2,grouped-unit,0.015198583947494626,2049,56
msmarco-passage-trec-dl-2020,877809,2,grouped-handoff64,0.009212415898218751,466,56
msmarco-passage-trec-dl-2020,877809,2,array-blocker64,0.006447165040299296,33,56
msmarco-passage-trec-dl-2020,877809,2,array-unit,0.3850872510811314,2049,56
msmarco-passage-trec-dl-2020,877809,2,grouped-blocker64,0.0023839991772547364,33,56
nfcorpus,PLAIN-1516,0,array-blocker64,0.0004417079035192728,4,100
nfcorpus,PLAIN-1516,0,array-unit,0.009995041065849364,103,100
nfcorpus,PLAIN-1516,0,grouped-blocker64,0.00037612696178257465,4,100
nfcorpus,PLAIN-1516,0,grouped-unit,0.0003540010657161474,103,100
nfcorpus,PLAIN-1516,0,grouped-handoff64,0.00035395706072449684,40,100
nfcorpus,PLAIN-1516,1,array-unit,0.010150874964892864,103,100
nfcorpus,PLAIN-1516,1,grouped-blocker64,0.0004162488039582968,4,100
nfcorpus,PLAIN-1516,1,grouped-unit,0.0003319589886814356,103,100
nfcorpus,PLAIN-1516,1,grouped-handoff64,0.0003281249664723873,40,100
nfcorpus,PLAIN-1516,1,array-blocker64,0.0004456669557839632,4,100
nfcorpus,PLAIN-1516,2,grouped-blocker64,0.0003502931213006377,4,100
nfcorpus,PLAIN-1516,2,grouped-unit,0.0003674592589959502,103,100
nfcorpus,PLAIN-1516,2,grouped-handoff64,0.0004047080874443054,40,100
nfcorpus,PLAIN-1516,2,array-blocker64,0.0004237499088048935,4,100
nfcorpus,PLAIN-1516,2,array-unit,0.010335708153434098,103,100
nfcorpus,PLAIN-2920,0,array-unit,0.30360741703771055,2049,49
nfcorpus,PLAIN-2920,0,grouped-blocker64,0.0025877930456772447,34,49
nfcorpus,PLAIN-2920,0,grouped-unit,0.015110958949662745,2049,49
nfcorpus,PLAIN-2920,0,grouped-handoff64,0.014841166092082858,802,49
nfcorpus,PLAIN-2920,0,array-blocker64,0.005653666099533439,34,49
nfcorpus,PLAIN-2920,1,grouped-blocker64,0.0024388331221416593,34,49
