dataset,query_id,policy,budget,reads,dense,sparse,k100,certificate_calls,replay_seconds
msmarco-passage-trec-dl-2019,182539,grouped-unit,128,128,75,53,28,129,0.0008705419022589922
msmarco-passage-trec-dl-2019,182539,grouped-unit,256,256,152,104,31,257,0.0017552499193698168
msmarco-passage-trec-dl-2019,182539,grouped-unit,512,512,322,190,39,513,0.0035339168971404433
msmarco-passage-trec-dl-2019,182539,grouped-unit,1024,1024,743,281,40,1025,0.007360416813753545
msmarco-passage-trec-dl-2019,182539,grouped-unit,2048,2048,1668,380,42,2049,0.01450916682370007
msmarco-passage-trec-dl-2019,182539,grouped-blocker64,128,128,64,64,28,3,0.0002626249333843589
msmarco-passage-trec-dl-2019,182539,grouped-blocker64,256,256,128,128,30,5,0.0003932089312002063
msmarco-passage-trec-dl-2019,182539,grouped-blocker64,512,512,320,192,39,9,0.0006760838441550732
msmarco-passage-trec-dl-2019,182539,grouped-blocker64,1024,1024,704,320,40,17,0.0011510838521644473
msmarco-passage-trec-dl-2019,182539,grouped-blocker64,2048,2048,1664,384,42,33,0.0024935008259490132
msmarco-passage-trec-dl-2019,182539,grouped-handoff64,128,128,64,64,28,4,0.0002685419749468565
msmarco-passage-trec-dl-2019,182539,grouped-handoff64,256,256,152,104,31,88,0.0015518330037593842
msmarco-passage-trec-dl-2019,182539,grouped-handoff64,512,512,322,190,39,264,0.004594416008330882
msmarco-passage-trec-dl-2019,182539,grouped-handoff64,1024,1024,743,281,40,447,0.00783183192834258
msmarco-passage-trec-dl-2019,182539,grouped-handoff64,2048,2048,1668,380,42,648,0.012455081916414201
msmarco-passage-trec-dl-2019,915593,grouped-unit,128,128,60,68,10,129,0.0008616250706836581
msmarco-passage-trec-dl-2019,915593,grouped-unit,256,256,126,130,23,257,0.0017845830880105495
msmarco-passage-trec-dl-2019,915593,grouped-unit,512,512,290,222,63,513,0.003865458071231842
msmarco-passage-trec-dl-2019,915593,grouped-unit,1024,720,446,274,100,721,0.0055283741094172
msmarco-passage-trec-dl-2019,915593,grouped-unit,2048,720,446,274,100,721,0.005528582143597305
msmarco-passage-trec-dl-2019,915593,grouped-blocker64,128,128,64,64,9,3,0.00016499997582286596
msmarco-passage-trec-dl-2019,915593,grouped-blocker64,256,256,128,128,22,5,0.000360791920684278
msmarco-passage-trec-dl-2019,915593,grouped-blocker64,512,512,256,256,46,9,0.0007789168739691377
msmarco-passage-trec-dl-2019,915593,grouped-blocker64,1024,768,448,320,100,13,0.0013088338309898973
msmarco-passage-trec-dl-2019,915593,grouped-blocker64,2048,768,448,320,100,13,0.001309000886976719
msmarco-passage-trec-dl-2019,915593,grouped-handoff64,128,128,64,64,9,6,0.00024620897602289915
msmarco-passage-trec-dl-2019,915593,grouped-handoff64,256,256,126,130,23,117,0.0021240419009700418
msmarco-passage-trec-dl-2019,915593,grouped-handoff64,512,512,290,222,63,255,0.004694666946306825
msmarco-passage-trec-dl-2019,915593,grouped-handoff64,1024,770,493,277,100,292,0.005732459016144276
msmarco-passage-trec-dl-2019,915593,grouped-handoff64,2048,770,493,277,100,292,0.005732626072131097
msmarco-passage-trec-dl-2019,130510,grouped-unit,128,128,72,56,22,129,0.0009121251059696078
msmarco-passage-trec-dl-2019,130510,grouped-unit,256,256,159,97,26,257,0.0016583341639488935
msmarco-passage-trec-dl-2019,130510,grouped-unit,512,512,341,171,30,513,0.003380959155037999
msmarco-passage-trec-dl-2019,130510,grouped-unit,1024,1024,757,267,32,1025,0.00706304213963449
