budget,cap,method,actual_reads,returned,empty,has10,exact10,position_agreement10,top10_set_same_order_diff,ndcg10,recall
8192,100,fixed_topL_zero,8192,100,0,1,0.9533333333333334,0.99,0.03333333333333333,0.7269685808833842,0.17860706261237966
10000,20,balanced_cert,10000,18.39333333333333,0,0.9466666666666667,0.9466666666666667,0.9793333333333333,0,0.722499583537468,0.05657632219197527
10000,20,balanced_zero,10000,20,0,1,0.96,0.992,0.026666666666666665,0.7269756408800118,0.05884501490498504
10000,20,blocker_cert,10000,18.39333333333333,0,0.9466666666666667,0.9466666666666667,0.9793333333333333,0,0.722499583537468,0.05657632219197527
10000,20,blocker_zero,10000,20,0,1,0.96,0.992,0.026666666666666665,0.7269756408800118,0.05884501490498504
10000,20,fixed_topL_zero,10000,20,0,1,0.96,0.992,0.026666666666666665,0.7269756408800118,0.05884501490498504
10000,100,balanced_cert,10000,44.32666666666667,0,0.9466666666666667,0.9466666666666667,0.9793333333333333,0,0.722499583537468,0.11444430270192975
10000,100,balanced_zero,10000,100,0,1,0.96,0.992,0.026666666666666665,0.7269756408800118,0.17868995235355037
10000,100,blocker_cert,10000,44.32666666666667,0,0.9466666666666667,0.9466666666666667,0.9793333333333333,0,0.722499583537468,0.11444430270192975
10000,100,blocker_zero,10000,100,0,1,0.96,0.992,0.026666666666666665,0.7269756408800118,0.17868995235355037
10000,100,fixed_topL_zero,10000,100,0,1,0.96,0.992,0.026666666666666665,0.7269756408800118,0.17868995235355037
