dataset,budget,cap,method,queries,actual_reads,returned,empty,has10,exact10,position_agreement10,top10_set_same_order_diff,ndcg10,recall
trec-covid-chrono-r3,128,100,fixed_topL_zero,30,128,99.76666666666667,0,1,0.26666666666666666,0.6633333333333333,0,0.7134391909059871,0.13972582921752083
trec-covid-chrono-r3,256,20,balanced_cert,30,256,9.233333333333333,0,0.43333333333333335,0.43333333333333335,0.7433333333333333,0,0.6321293735028137,0.025541423770470542
trec-covid-chrono-r3,256,20,balanced_zero,30,256,20,0,1,0.6,0.8466666666666667,0,0.7370528230887917,0.04454668480434497
trec-covid-chrono-r3,256,20,blocker_cert,30,256,9.233333333333333,0,0.43333333333333335,0.43333333333333335,0.7433333333333333,0,0.6321293735028137,0.025541423770470542
trec-covid-chrono-r3,256,20,blocker_zero,30,256,20,0,1,0.6,0.8466666666666667,0,0.7370528230887917,0.04454668480434497
trec-covid-chrono-r3,256,20,fixed_topL_zero,30,256,20,0,1,0.6,0.8466666666666667,0,0.7370528230887917,0.04454668480434497
trec-covid-chrono-r3,256,100,balanced_cert,30,256,9.733333333333333,0,0.43333333333333335,0.43333333333333335,0.7433333333333333,0,0.6321293735028137,0.026857424136821233
trec-covid-chrono-r3,256,100,balanced_zero,30,256,100,0,1,0.6,0.8466666666666667,0,0.7370528230887917,0.14356062292449237
trec-covid-chrono-r3,256,100,blocker_cert,30,256,9.733333333333333,0,0.43333333333333335,0.43333333333333335,0.7433333333333333,0,0.6321293735028137,0.026857424136821233
trec-covid-chrono-r3,256,100,blocker_zero,30,256,100,0,1,0.6,0.8466666666666667,0,0.7370528230887917,0.14356062292449237
trec-covid-chrono-r3,256,100,fixed_topL_zero,30,256,100,0,1,0.6,0.8466666666666667,0,0.7370528230887917,0.14356062292449237
trec-covid-chrono-r3,512,20,balanced_cert,30,512,12.066666666666666,0,0.6,0.6,0.8266666666666667,0,0.6672607518228949,0.03355613596066734
trec-covid-chrono-r3,512,20,balanced_zero,30,512,20,0,1,0.7333333333333333,0.8966666666666667,0,0.7379762782836903,0.046030069852522934
trec-covid-chrono-r3,512,20,blocker_cert,30,512,12.166666666666666,0,0.6,0.6,0.8266666666666667,0,0.6672607518228949,0.03365003267428236
