dataset,query_id,budget,cap,method,dense_depth,sparse_depth,actual_reads,candidates,returned,empty,has10,exact10,position_agreement10,top10_set_same_order_diff,ndcg10,recall
trec-covid-chrono-r1,2,1024,20,fixed_topL_zero,512,512,1024,982,20,0,1,1,1.0,0,0.6312726719634206,0.10227272727272728
trec-covid-chrono-r1,2,1024,100,fixed_topL_zero,512,512,1024,982,100,0,1,1,1.0,0,0.6312726719634206,0.3068181818181818
trec-covid-chrono-r1,2,1024,20,balanced_zero,512,512,1024,982,20,0,1,1,1.0,0,0.6312726719634206,0.10227272727272728
trec-covid-chrono-r1,2,1024,100,balanced_zero,512,512,1024,982,100,0,1,1,1.0,0,0.6312726719634206,0.3068181818181818
trec-covid-chrono-r1,2,1024,20,balanced_cert,512,512,1024,982,8,0,0,0,0.8,0,0.5650184485090316,0.056818181818181816
trec-covid-chrono-r1,2,1024,100,balanced_cert,512,512,1024,982,8,0,0,0,0.8,0,0.5650184485090316,0.056818181818181816
trec-covid-chrono-r1,2,1024,20,blocker_zero,576,448,1024,980,20,0,1,1,1.0,0,0.6312726719634206,0.10227272727272728
trec-covid-chrono-r1,2,1024,100,blocker_zero,576,448,1024,980,100,0,1,1,1.0,0,0.6312726719634206,0.3068181818181818
trec-covid-chrono-r1,2,1024,20,blocker_cert,576,448,1024,980,8,0,0,0,0.8,0,0.5650184485090316,0.056818181818181816
trec-covid-chrono-r1,2,1024,100,blocker_cert,576,448,1024,980,8,0,0,0,0.8,0,0.5650184485090316,0.056818181818181816
trec-covid-chrono-r1,2,2048,20,fixed_topL_zero,1024,1024,2048,1928,20,0,1,1,1.0,0,0.6312726719634206,0.10227272727272728
trec-covid-chrono-r1,2,2048,100,fixed_topL_zero,1024,1024,2048,1928,100,0,1,1,1.0,0,0.6312726719634206,0.3068181818181818
trec-covid-chrono-r1,2,2048,20,balanced_zero,1024,1024,2048,1928,20,0,1,1,1.0,0,0.6312726719634206,0.10227272727272728
trec-covid-chrono-r1,2,2048,100,balanced_zero,1024,1024,2048,1928,100,0,1,1,1.0,0,0.6312726719634206,0.3068181818181818
trec-covid-chrono-r1,2,2048,20,balanced_cert,1024,1024,2048,1928,9,0,0,0,0.9,0,0.6312726719634206,0.06818181818181818
trec-covid-chrono-r1,2,2048,100,balanced_cert,1024,1024,2048,1928,9,0,0,0,0.9,0,0.6312726719634206,0.06818181818181818
trec-covid-chrono-r1,2,2048,20,blocker_zero,1152,896,2048,1931,20,0,1,1,1.0,0,0.6312726719634206,0.10227272727272728
trec-covid-chrono-r1,2,2048,100,blocker_zero,1152,896,2048,1931,100,0,1,1,1.0,0,0.6312726719634206,0.3068181818181818
trec-covid-chrono-r1,2,2048,20,blocker_cert,1152,896,2048,1931,9,0,0,0,0.9,0,0.6312726719634206,0.06818181818181818
trec-covid-chrono-r1,2,2048,100,blocker_cert,1152,896,2048,1931,9,0,0,0,0.9,0,0.6312726719634206,0.06818181818181818
trec-covid-chrono-r1,2,4096,20,fixed_topL_zero,2048,2048,4096,3751,20,0,1,1,1.0,0,0.6312726719634206,0.10227272727272728
trec-covid-chrono-r1,2,4096,100,fixed_topL_zero,2048,2048,4096,3751,100,0,1,1,1.0,0,0.6312726719634206,0.3068181818181818
trec-covid-chrono-r1,2,4096,20,balanced_zero,2048,2048,4096,3751,20,0,1,1,1.0,0,0.6312726719634206,0.10227272727272728
trec-covid-chrono-r1,2,4096,100,balanced_zero,2048,2048,4096,3751,100,0,1,1,1.0,0,0.6312726719634206,0.3068181818181818
trec-covid-chrono-r1,2,4096,20,balanced_cert,2048,2048,4096,3751,9,0,0,0,0.9,0,0.6312726719634206,0.06818181818181818
trec-covid-chrono-r1,2,4096,100,balanced_cert,2048,2048,4096,3751,9,0,0,0,0.9,0,0.6312726719634206,0.06818181818181818
trec-covid-chrono-r1,2,4096,20,blocker_zero,2560,1536,4096,3791,20,0,1,1,1.0,0,0.6312726719634206,0.10227272727272728
trec-covid-chrono-r1,2,4096,100,blocker_zero,2560,1536,4096,3791,100,0,1,1,1.0,0,0.6312726719634206,0.3181818181818182
trec-covid-chrono-r1,2,4096,20,blocker_cert,2560,1536,4096,3791,9,0,0,0,0.9,0,0.6312726719634206,0.06818181818181818
trec-covid-chrono-r1,2,4096,100,blocker_cert,2560,1536,4096,3791,9,0,0,0,0.9,0,0.6312726719634206,0.06818181818181818
trec-covid-chrono-r1,2,8192,20,fixed_topL_zero,4096,4096,8192,7370,20,0,1,1,1.0,0,0.6312726719634206,0.11363636363636363
trec-covid-chrono-r1,2,8192,100,fixed_topL_zero,4096,4096,8192,7370,100,0,1,1,1.0,0,0.6312726719634206,0.3181818181818182
trec-covid-chrono-r1,2,8192,20,balanced_zero,4096,4096,8192,7370,20,0,1,1,1.0,0,0.6312726719634206,0.11363636363636363
trec-covid-chrono-r1,2,8192,100,balanced_zero,4096,4096,8192,7370,100,0,1,1,1.0,0,0.6312726719634206,0.3181818181818182
trec-covid-chrono-r1,2,8192,20,balanced_cert,4096,4096,8192,7370,10,0,1,1,1.0,0,0.6312726719634206,0.06818181818181818
trec-covid-chrono-r1,2,8192,100,balanced_cert,4096,4096,8192,7370,10,0,1,1,1.0,0,0.6312726719634206,0.06818181818181818
