dataset,query_id,policy,budget,reads,dense,sparse,k100,k20,certificate_calls,replay_seconds,schedule_seconds
scifact,1150,unit,128,128,64,64,12,12,129,0.008630292024463415,8.433847688138485e-05
scifact,1150,unit,256,256,128,128,21,20,257,0.023727375082671642,0.00014889088924974203
scifact,1150,unit,512,512,256,256,25,20,513,0.06011433305684477,0.0002965950407087803
scifact,1150,handoff64,128,128,64,64,12,12,4,0.0003201250219717622,9.545695502310991e-05
scifact,1150,handoff64,256,256,128,128,21,20,91,0.0546859580790624,0.043449915130622685
scifact,1150,handoff64,512,512,256,256,25,20,271,0.2033596240216866,0.16532904549967498
scifact,1150,handoff,128,128,1,127,1,1,3,0.00015712506137788296,2.9959017410874367e-05
scifact,1150,handoff,256,256,129,127,20,20,4,0.000336333061568439,7.41670373827219e-05
scifact,1150,handoff,512,512,256,256,25,20,184,0.14950716716703027,0.12212687660939991
scifact,1150,certificate-event,128,128,1,127,1,1,3,0.0001437090104445815,2.029107417911291e-05
scifact,1150,certificate-event,256,256,129,127,20,20,4,0.0003124590730294585,5.7082041166722775e-05
scifact,1150,certificate-event,512,512,249,263,25,20,14,0.00829708413220942,0.006443372927606106
scifact,1150,balanced64,128,128,64,64,12,12,3,0.0001684159506112337,1.4578690752387047e-06
scifact,1150,balanced64,256,256,128,128,21,20,5,0.0004334569675847888,2.2070016711950302e-06
scifact,1150,balanced64,512,512,256,256,25,20,9,0.0010303739691153169,3.248918801546097e-06
scifact,1150,blocker64,128,128,64,64,12,12,3,0.00016337493434548378,7.5410353019833565e-06
scifact,1150,blocker64,256,256,128,128,21,20,5,0.00045512488577514887,9.624171070754528e-06
scifact,1150,blocker64,512,512,256,256,25,20,9,0.0010544578544795513,1.2707198038697243e-05
trec-covid,8,handoff64,128,128,64,64,2,2,5,0.0003548749955371022,6.333389319479465e-05
trec-covid,8,handoff64,256,256,128,128,2,2,86,0.01826641708612442,0.009901291690766811
trec-covid,8,handoff64,512,512,242,270,6,6,257,0.06935979204718024,0.0426704598357901
trec-covid,8,handoff,128,128,1,127,0,0,3,0.00020954094361513853,3.258301876485348e-05
trec-covid,8,handoff,256,256,129,127,2,2,5,0.00045374990440905094,7.133290637284517e-05
trec-covid,8,handoff,512,512,242,270,6,6,175,0.05207379080820829,0.03331383166369051
trec-covid,8,certificate-event,128,128,1,127,0,0,3,0.00016187492292374372,2.1875021047890186e-05
trec-covid,8,certificate-event,256,256,129,127,2,2,30,0.004491833969950676,0.00160416797734797
trec-covid,8,certificate-event,512,512,249,263,6,6,37,0.006592084071598947,0.0029050848679617047
trec-covid,8,balanced64,128,128,64,64,2,2,3,0.00016366702038794756,1.5421537682414055e-06
trec-covid,8,balanced64,256,256,128,128,2,2,5,0.00038383412174880505,2.168118953704834e-06
trec-covid,8,balanced64,512,512,256,256,6,6,9,0.0008172921370714903,3.168010152876377e-06
trec-covid,8,blocker64,128,128,64,64,2,2,3,0.0001544170081615448,8.00006091594696e-06
trec-covid,8,blocker64,256,256,128,128,2,2,5,0.0003504590131342411,9.584007784724236e-06
trec-covid,8,blocker64,512,512,256,256,6,6,9,0.0007682089926674962,1.2001022696495056e-05
trec-covid,8,pressure64,128,128,64,64,2,2,3,0.00018179207108914852,3.650004509836435e-05
trec-covid,8,pressure64,256,256,128,128,2,2,5,0.0006188751431182027,0.00027933402452617884
trec-covid,8,pressure64,512,512,256,256,6,6,9,0.0016026252415031195,0.000843208865262568
trec-covid,8,unit,128,128,64,64,2,2,129,0.00929700001142919,7.517402991652489e-05
trec-covid,8,unit,256,256,128,128,2,2,257,0.021699166973121464,0.00014338165055960417
trec-covid,8,unit,512,512,242,270,6,6,513,0.04846820805687457,0.0002760114148259163
trec-covid,34,pressure64,128,128,64,64,4,4,3,0.0002146249171346426,3.6999001167714596e-05
trec-covid,34,pressure64,256,256,128,128,5,5,5,0.0008980408310890198,0.0004832489648833871
trec-covid,34,pressure64,512,512,256,256,6,6,9,0.002565623843111098,0.0016694578807801008
trec-covid,34,unit,128,128,64,64,4,4,129,0.009389083017595112,7.638277020305395e-05
trec-covid,34,unit,256,256,128,128,5,5,257,0.022376416018232703,0.00014088861644268036
trec-covid,34,unit,512,512,256,256,6,6,513,0.05020512396004051,0.00027470337226986885
trec-covid,34,handoff64,128,128,64,64,4,4,5,0.00033774995245039463,6.362504791468382e-05
trec-covid,34,handoff64,256,256,128,128,5,5,87,0.030370165943168104,0.021372877177782357
trec-covid,34,handoff64,512,512,256,256,6,6,263,0.107883415883407,0.07854349841363728
trec-covid,34,handoff,128,128,1,127,0,0,3,0.00017549993935972452,3.437604755163193e-05
trec-covid,34,handoff,256,256,129,127,5,5,5,0.00041095796041190624,6.804207805544138e-05
trec-covid,34,handoff,512,512,256,256,6,6,180,0.07791899889707565,0.057839537621475756
trec-covid,34,certificate-event,128,128,1,127,0,0,3,0.0001623749267309904,2.3000058718025684e-05
trec-covid,34,certificate-event,256,256,129,127,5,5,24,0.0027874999213963747,0.0007467906689271331
trec-covid,34,certificate-event,512,512,131,381,6,6,27,0.004085582913830876,0.0016596236964687705
trec-covid,34,balanced64,128,128,64,64,4,4,3,0.00015708303544670343,1.2920936569571495e-06
trec-covid,34,balanced64,256,256,128,128,5,5,5,0.00037429097574204206,1.875218003988266e-06
trec-covid,34,balanced64,512,512,256,256,6,6,9,0.0008336659520864487,2.7921050786972046e-06
trec-covid,34,blocker64,128,128,64,64,4,4,3,0.00015645800158381462,7.458031177520752e-06
trec-covid,34,blocker64,256,256,128,128,5,5,5,0.00036579102743417025,8.87399073690176e-06
trec-covid,34,blocker64,512,512,256,256,6,6,9,0.0008384159300476313,1.1333031579852104e-05
